train_acc,train_loss,train_precision,train_recall,train_f1,train_precision_window,train_recall_window,train_f1_window,val_acc,val_loss,val_precision,val_recall,val_f1,val_precision_window,val_recall_window,val_f1_window
0.9187,173.0180,0.8181,0.3973,0.8136,1.,0.7346,0.8461,0.9174,174.0044,0.8150,0.3915,0.8100,1.,0.7046,0.8260
0.9187,173.0294,0.8178,0.3951,0.8137,1.,0.7443,0.8523,0.9174,174.0022,0.8150,0.3915,0.8100,1.,0.7159,0.8337
0.9187,173.0583,0.8178,0.3968,0.8136,1.,0.7470,0.8543,0.9174,173.8987,0.8150,0.3915,0.8100,1.,0.7234,0.8387
0.9187,173.0269,0.8181,0.3960,0.8136,1.,0.7400,0.8496,0.9174,174.0139,0.8150,0.3915,0.8100,1.,0.7077,0.8282
0.9188,173.0269,0.8183,0.3971,0.8138,1.,0.7319,0.8444,0.9174,174.7883,0.8150,0.3915,0.8100,1.,0.7084,0.8286
0.9187,173.0223,0.8180,0.3963,0.8137,1.,0.7383,0.8486,0.9174,173.9727,0.8150,0.3915,0.8100,1.,0.7109,0.8302
0.9188,173.0023,0.8182,0.3995,0.8137,1.,0.7313,0.8438,0.9174,173.9339,0.8150,0.3915,0.8100,1.,0.7090,0.8290
0.9187,172.9925,0.8181,0.3976,0.8136,1.,0.7272,0.8413,0.9174,173.9383,0.8150,0.3915,0.8100,1.,0.7161,0.8338
0.9187,173.0557,0.8180,0.3984,0.8136,1.,0.7350,0.8463,0.9174,174.1186,0.8150,0.3915,0.8100,1.,0.7133,0.8318
0.9185,173.1110,0.8174,0.3954,0.8133,1.,0.7443,0.8524,0.9174,174.1634,0.8150,0.3915,0.8100,1.,0.7095,0.8293
0.9188,173.0275,0.8183,0.3999,0.8139,1.,0.7262,0.8406,0.9174,173.8296,0.8150,0.3915,0.8100,1.,0.7082,0.8284
0.9188,173.0037,0.8183,0.3941,0.8138,1.,0.7331,0.8452,0.9174,174.2392,0.8150,0.3915,0.8100,1.,0.7173,0.8346
0.9187,173.0337,0.8180,0.3967,0.8136,1.,0.7287,0.8422,0.9174,173.9915,0.8150,0.3915,0.8100,1.,0.7060,0.8269
0.9188,173.0125,0.8182,0.3950,0.8137,1.,0.7244,0.8394,0.9174,174.1108,0.8150,0.3915,0.8100,1.,0.7071,0.8276
0.9188,173.0518,0.8181,0.4000,0.8137,1.,0.7270,0.8411,0.9174,174.0234,0.8150,0.3915,0.8100,1.,0.7237,0.8390
0.9186,172.9990,0.8179,0.3953,0.8134,1.,0.7276,0.8415,0.9174,173.7198,0.8150,0.3915,0.8100,1.,0.7411,0.8506
0.9188,172.9826,0.8181,0.3983,0.8136,0.9996,0.7809,0.8759,0.9174,174.0704,0.8150,0.3915,0.8100,1.,0.7115,0.8307
0.9187,173.0499,0.8179,0.3976,0.8134,1.,0.7310,0.8438,0.9174,174.1228,0.8150,0.3915,0.8100,1.,0.7264,0.8407
0.9187,173.0399,0.8180,0.3982,0.8135,1.,0.7277,0.8417,0.9174,173.9193,0.8150,0.3915,0.8100,1.,0.7145,0.8327
0.9187,173.0083,0.8180,0.3973,0.8135,1.,0.7252,0.8400,0.9174,174.0025,0.8150,0.3915,0.8100,1.,0.7172,0.8345
0.9186,173.0228,0.8177,0.3983,0.8133,0.9993,0.7289,0.8421,0.9174,173.8221,0.8150,0.3915,0.8100,1.,0.7227,0.8383
0.9184,173.0136,0.8166,0.3965,0.8132,1.,0.7371,0.8478,0.9174,173.8947,0.8150,0.3915,0.8100,1.,0.7074,0.8279
0.9187,173.0026,0.8179,0.3984,0.8135,1.,0.7306,0.8435,0.9174,173.7006,0.8150,0.3915,0.8100,1.,0.7087,0.8288
0.9188,173.0161,0.8181,0.3999,0.8137,1.,0.7261,0.8405,0.9174,174.0114,0.8150,0.3915,0.8100,1.,0.7079,0.8283
0.9187,172.9589,0.8180,0.3937,0.8136,1.,0.7250,0.8398,0.9174,174.3552,0.8150,0.3915,0.8100,1.,0.7086,0.8287
0.9188,172.9730,0.8181,0.3988,0.8139,1.,0.7257,0.8404,0.9174,173.8880,0.8150,0.3915,0.8100,1.,0.7112,0.8304
0.9186,172.9667,0.8175,0.4000,0.8134,1.,0.7282,0.8420,0.9174,173.9245,0.8150,0.3915,0.8100,1.,0.7076,0.8281
0.9187,173.0062,0.8181,0.3986,0.8137,1.,0.7240,0.8391,0.9174,173.9608,0.8150,0.3915,0.8100,1.,0.7107,0.8301
0.9188,172.9861,0.8182,0.3958,0.8138,1.,0.7247,0.8396,0.9174,174.3879,0.8150,0.3915,0.8100,1.,0.7088,0.8289
0.9188,172.9809,0.8183,0.4000,0.8137,1.,0.7214,0.8374,0.9174,174.0660,0.8150,0.3915,0.8100,1.,0.7169,0.8343
0.9187,172.9644,0.8181,0.3980,0.8136,1.,0.7214,0.8373,0.9174,173.7706,0.8150,0.3915,0.8100,1.,0.7115,0.8307
0.9187,172.9571,0.8180,0.3964,0.8136,1.,0.7221,0.8378,0.9174,174.0876,0.8150,0.3915,0.8100,1.,0.7120,0.8311
